Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,154.23,155.04,1.95,36.37,-20.06,49.59,1,25397.12
Buy Dip 10%,82.24,82.62,1.59,28.53,-20.06,40.82,10,18224.23
Buy Dip 20%,6.78,6.8,1.77,2.58,-1.08,16.99,1,10678.0
Buy Dip 30%,0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (profit_25),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (sma_50),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (ema_21),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (bb_middle),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (ema_cross),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (sma_distance),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
RSI <30,88.54,88.95,1.6,30.17,-20.06,41.1,10,18854.28
MA Cross 50/200,5.9,5.92,0.31,18.34,-16.36,15.62,3,10590.37
Bollinger 20d,74.93,75.26,1.7,24.45,-16.47,43.56,10,17492.56
DCA 30d,57.14,57.38,1.57,21.34,-14.57,49.59,11,15712.52
Vol-Adjusted DCA,39.83,39.99,1.43,17.27,-11.47,44.11,12,13982.79
